id;full_sq;life_sq;floor;preschool_education_centers_raion;school_education_centers_raion;school_education_centers_top_20_raion;university_top_20_raion;sport_objects_raion;additional_education_raion;culture_objects_top_25_raion;shopping_centers_raion;metro_km_walk;kindergarten_km;school_km;park_km;green_zone_km;mkad_km;bulvar_ring_km;kremlin_km;price_doc
1;43;27;4;5;5;0;0;7;3;0;16;1.131259906;0.145699552;0.17797535;2.158587074;0.600973099;1.42239141;13.67565705;15.15621058;5850000
2;34;19;3;5;8;0;0;6;1;1;3;0.635052534;0.147754269;0.273345319;0.550689737;0.065321162;9.503405157;8.132640073;8.698054189;6000000
3;43;29;2;4;7;0;0;5;1;0;0;1.445959617;0.049101536;0.158071895;0.374847751;0.453172405;5.60479992;8.054252314;9.067884956;5700000
4;89;50;9;9;10;0;0;17;6;0;11;0.963802007;0.179440956;0.236455018;0.078090293;0.106124506;2.677824281;18.30943312;19.48700542;13100000
5;77;77;4;7;9;0;2;25;2;0;10;0.68885877;0.247901208;0.376838057;0.258288769;0.236214054;11.61665314;0.787593311;2.578670647;16331452
6;67;46;14;2;3;0;0;7;0;0;6;1.531514136;0.145954816;0.113466218;1.073495427;1.497902638;8.296086727;4.395057477;5.645795859;9100000
7;25;14;10;5;5;0;0;17;6;0;6;1.026916052;0.501165569;0.516979177;2.393238738;0.632444746;8.618597103;4.686895435;6.468718768;5500000
8;44;44;5;5;5;0;0;7;3;0;16;0.96064897;0.134365152;0.581510695;1.602056341;0.165124113;1.04229051;14.2861768;15.77042634;2000000
9;42;27;5;4;6;0;0;7;6;0;0;1.228524117;0.11290453;0.256589329;0.939584123;0.148956733;6.53914608;8.963023472;10.357535;5300000
10;36;21;9;7;8;0;0;5;2;0;3;0.396274723;0.309672803;0.150686282;1.969773852;0.191191251;3.953500268;10.00345994;10.86912007;2000000
11;36;19;12;4;5;0;0;4;2;0;0;1.238348789;0.1754438;0.31773877699999997;0.202279123;0.191739837;3.114978819;15.66223681;17.06679632;4650000
12;38;19;11;3;3;0;0;3;2;0;5;2.306503582;0.341368228;0.185712984;0.84739393;0.45592583;0.75556051;14.73631109;16.13770406;4800000
13;43;28;4;7;8;0;0;5;2;0;3;1.623329099;0.240613803;0.72598907;2.370263153;0.441057574;1.652673969;12.33874383;13.2028609;5100000
14;31;31;4;7;9;0;1;29;2;3;5;1.214706315;0.478112046;0.718828221;0.448685022;0.086052714;10.82234557;3.439223422;4.450091361;5200000
15;31;21;3;4;4;0;1;12;1;0;7;0.590130357;0.196603916;0.797255445;1.479843613;0.385974217;8.276662483;3.874625916;5.469215614;5000000
16;51;31;15;13;14;0;0;16;16;0;15;1.045237008;0.238080787;0.30274937;1.12355036;0.175785183;3.561980243;13.32465286;14.11860041;1850000
17;47;31;4;8;8;1;0;7;8;0;5;0.621104339;0.354595182;0.266978222;1.09367126;0.125797149;4.571856115;9.299849373;10.31352228;6300000
18;42;28;2;4;8;1;0;2;2;0;2;1.177877142;0.303113879;0.462189362;1.413751818;0.263063686;10.07550672;8.34660058;8.927901339;5900000
19;59;33;10;4;5;0;0;4;2;0;0;1.428758422;0.161434787;0.678491366;0.421274831;0.19844851;3.479508932;16.01399973;17.42368658;7900000
20;44;29;4;6;7;0;0;5;3;0;5;1.326008624;0.321335505;0.372239123;2.584343037;0.811782772;3.477143944;10.1935066;11.99140951;5200000
21;74;44;10;1;1;0;0;0;0;0;1;5.962910315;0.32330838;2.500105459;9.9015452410000009;0.190786254;12.4839416;26.29954181;27.17480611;8200000
