"dt","debet","credit","saldo","acc","client","acc_name"
2020-10-01,30687496.000,25501571.000,103236396.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-02,31227799.000,29912496.000,104551699.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-03,0.000,0.000,104551699.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-04,0.000,0.000,104551699.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-05,37688212.000,56177799.000,86062112.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-06,42700324.000,24788212.000,103974224.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-07,23658809.000,38650324.000,88982709.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-08,34112730.000,23158809.000,99936630.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-09,63652781.000,29112730.000,134476681.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-10,0.000,0.000,134476681.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
