"table_schema","table_name","table_size","table_size_p","indexes_size","indexes_size_p","total_size","total_size_p","row_count_approx","last_analyze","row_count_exact"
dwh_stage,s01_t_trndtl_1_prt_other,208488562688,"194 GB",51620184064,"48 GB",260108746752,"242 GB",1121557503,2020-10-08 13:18:32,1122620693
dwh_stage,s01_t_operjrn,74459756328,"69 GB",180960886784,"169 GB",255420643112,"238 GB",922357000,2020-10-08 12:41:48,958449833
dwh_dds,acc_account_balance,115628942832,"108 GB",9779740672,"9327 MB",125408683504,"117 GB",725052276,2020-10-05 14:53:31,243607804
dwh_stage,s01_t_trndtl_tmp_1_prt_deb,59084767232,"55 GB",17744199680,"17 GB",76828966912,"72 GB",561938533,2020-12-10 14:21:43,562674047
dwh_stage,s01_t_trndtl_tmp_1_prt_cred,56182702080,"52 GB",16857038848,"16 GB",73039740928,"68 GB",534101903,2020-12-10 14:21:49,534830816
dwh_stage,s02_opt_account,72908210176,"68 GB",0,"0 bytes",72908210176,"68 GB",777734304,2020-09-28 18:34:08,1133629530
dwh_stage,s02_opt_vw_balance_dafb,47901048832,"45 GB",44564480,"43 MB",47945613312,"45 GB",422685256,2020-12-09 14:23:54,439633296
dwh_polygon,s02_opt_vw_balance_dafb_tuleng,44220088320,"41 GB",41353216,"39 MB",44261441536,"41 GB",405938414,2020-12-07 02:29:42,405916018
dwh_dds,acc_doc_payment,37313970176,"35 GB",1066074112,"1017 MB",38380044288,"36 GB",75713,2020-09-21 17:39:24,15093349
dwh_dm,dm_z10_1_prt_94_2020_10_13,25462680264,"24 GB",1083506688,"1033 MB",26546186952,"25 GB",0,2020-09-28 18:26:51,7581848
dwh_dm,dm_z10_1_prt_92_2020_09_29,25428509432,"24 GB",1113325568,"1062 MB",26541835000,"25 GB",0,2020-09-28 18:26:51,7597235
dwh_dm,dm_z10_1_prt_93_2020_10_06,24708376192,"23 GB",1067679744,"1018 MB",25776055936,"24 GB",0,2020-09-28 18:26:51,7590703
dwh_dm,dm_z10_1_prt_95_2020_10_20,24522796592,"23 GB",1041203200,"993 MB",25563999792,"24 GB",0,2020-09-28 18:26:51,7576185
dwh_stage,s01_tt_point,18885083136,"18 GB",5843353600,"5573 MB",24728436736,"23 GB",192588638,2020-09-11 20:05:18,196129960
dwh_stage,s02_opt_vw_all_doc_dafb,23622516736,"22 GB",769982464,"734 MB",24392499200,"23 GB",31291852,2020-12-07 03:45:24,33376750
dwh_polygon,s02_opt_vw_all_doc_dafb_tuleng,21901213696,"20 GB",0,"0 bytes",21901213696,"20 GB",31256040,2020-12-07 02:30:21,31283050
dwh_dm,dm_z10_1_prt_96_2020_10_27,20639713200,"19 GB",911835136,"870 MB",21551548336,"20 GB",0,2020-09-28 18:26:51,7589898
dwh_dds,ref_deal_schedule,16404545536,"15 GB",4942528512,"4714 MB",21347074048,"20 GB",67834312,2020-12-03 16:42:46,59759968
dwh_stage,s01_t_procmem_old,18231164928,"17 GB",0,"0 bytes",18231164928,"17 GB",133726781,2020-11-03 11:36:16,267585548
dwh_dm,dm_z10_1_prt_88_2020_09_01,15520430512,"14 GB",699957248,"668 MB",16220387760,"15 GB",557116,2020-09-28 18:26:51,7587768
dwh_dm,dm_z10_1_prt_91_2020_09_22,15487399000,"14 GB",698351616,"666 MB",16185750616,"15 GB",0,2020-09-28 18:26:51,7583410
dwh_dm,dm_z10_1_prt_90_2020_09_15,15476868888,"14 GB",697303040,"665 MB",16174171928,"15 GB",0,2020-09-28 18:26:51,7579718
dwh_dm,dm_z10_1_prt_89_2020_09_08,15035216800,"14 GB",679084032,"648 MB",15714300832,"15 GB",0,2020-09-28 18:26:51,7583045
dwh_dds,acc_anl_account_balance_1_prt_others,10174547712,"9703 MB",5176459264,"4937 MB",15351006976,"14 GB",52013146,2020-10-08 16:19:41,96613015
dwh_dm,dm_z10_1_prt_99_2020_11_17,14213891288,"13 GB",645267456,"615 MB",14859158744,"14 GB",0,2020-09-28 18:26:52,7577494
dwh_dm,dm_z10_1_prt_97_2020_11_03,13436786024,"13 GB",612270080,"584 MB",14049056104,"13 GB",0,2020-09-28 18:26:52,7576352
dwh_dm,dm_z10_1_prt_98_2020_11_10,11500644512,"11 GB",537690112,"513 MB",12038334624,"11 GB",0,2020-09-28 18:26:52,7575489
dwh_stage,s01_t_deashdpnt,7295533056,"6958 MB",4007395328,"3822 MB",11302928384,"11 GB",68173111,2020-12-12 02:26:53,68171867
dwh_dm,dm_z10_1_prt_100_2020_11_24,10059466576,"9593 MB",484311040,"462 MB",10543777616,"10055 MB",0,2020-09-28 18:26:52,7588591
dwh_stage,s01_p_ord,9209511936,"8783 MB",1074495488,"1025 MB",10284007424,"9808 MB",14215151,2020-12-12 04:59:37,14216773
dwh_polygon,s01_t_procmem,9434464256,"8997 MB",0,"0 bytes",9434464256,"8997 MB",15304924,2020-09-21 16:09:43,138466533
dwh_stage,s01_t_procmem_new,9411592192,"8976 MB",0,"0 bytes",9411592192,"8976 MB",0,2020-11-03 11:35:40,138130934
dwh_stage,s01_t_procinh,3186257888,"3039 MB",6009126912,"5731 MB",9195384800,"8769 MB",83619684,2020-12-12 04:40:28,83619684
dwh_polygon,dm_doc_payment_daler,8950939648,"8536 MB",0,"0 bytes",8950939648,"8536 MB",13390192,2020-11-18 10:16:58,13393984
dwh_stage,s01_t_ord_1_prt_ord_needless,6336118784,"6043 MB",1549565952,"1478 MB",7885684736,"7520 MB",0,,45622936
dwh_polygon,ref_account_bkp_dont_delete,7843545088,"7480 MB",0,"0 bytes",7843545088,"7480 MB",21942962,2020-11-26 17:52:44,21946981
